Tasks,PGs,Skewed,TaskLength,Current,Current,Avg Response Time
25,32,1,-1,Uniform,Load Balanced, 7.194197282791138
25,32,1,-1,Uniform,Network Efficient, 7.911923173268636
25,32,1,-1,Load Balanced,Current, 8.068739493687948
25,32,1,-1,Load Balanced,Load Balanced, 7.2157307052612305
25,32,1,-1,Load Balanced,Network Efficient, 6.765041618347168

25,32,1,0,Current,Current, 31.96685861269633
25,32,1,0,Current,Load Balanced, 28.178960269292194
25,32,1,0,Current,Network Efficient, 28.833227341969806
25,32,1,0,Uniform,Current, 29.688876657485963
25,32,1,0,Uniform,Load Balanced, 27.84681036949158
25,32,1,0,Uniform,Network Efficient, 27.976257966359455
25,32,1,0,Load Balanced,Current, 29.38063223520915
25,32,1,0,Load Balanced,Load Balanced, 28.797890996932985
25,32,1,0,Load Balanced,Network Efficient, 29.7299289894104

